Medical Term,Frequency
circumcision,97
jaundice,97
mammary,97
eventually,97
nicely,97
grandmother,97
cardioplegia,97
thickened,96
listed,96
endometriosis,96
distance,96
presenting,96
kidneys,96
tonsillectomy,96
antegrade,96
spoke,96
experiencing,96
behavior,96
flush,96
urethral,96
caries,96
annular,96
looked,96
depressed,96
clipped,96
mac,96
list,96
synthroid,96
duration,96
bmp,96
march,96
defects,96
orientation,96
reduce,96
code,95
particular,95
clot,95
terminal,95
threaded,95
overnight,95
positioning,95
ongoing,95
ble,95
coord,95
complain,95
sputum,95
record,95
glaucoma,95
sudden,95
scleral,95
notable,95
drinking,95
glans,95
digoxin,95
counseling,95
live,95
uihc,95
xeroform,95
crystalloid,94
pus,94
pituitary,94
mask,94
orifice,94
looks,94
turbinate,94
humeral,94
calories,94
eat,94
causes,94
always,94
additionally,94
urgency,94
cornea,94
thoracotomy,93
deltoid,93
bid,93
smokes,93
circumferential,93
atelectasis,93
titanium,93
gestation,93
run,93
independent,93
guided,93
generally,93
mediastinal,93
critical,93
returns,92
ulceration,92
assessed,92
spent,92
mobile,92
fresh,92
sugars,92
egd,92
phacoemulsification,92
core,92
disability,92
partner,92
inside,92
extent,92
exsanguinated,92
counter,92
curettage,92
walker,91
sleeping,91
optic,91
prominences,91
goals,91
cerebellar,91
insight,91
protrusion,91
closing,91
soon,91
psa,91
late,91
ligature,91
effusions,91
nitroglycerin,91
pancreas,90
september,90
limbus,90
bring,90
swollen,90
curvilinear,90
buccal,90
entirety,90
retention,90
smaller,90
ibuprofen,90
infiltrate,90
viable,90
monday,90
ambulation,90
hydrocele,90
grafting,90
colli,90
black,90
severity,89
atrophic,89
achilles,89
harmonic,89
diverticulosis,89
want,89
reasonable,89
endplate,89
tented,89
malignancy,89
ideation,89
answer,89
driving,88
gag,88
pe,88
identifying,88
hepatic,88
resulting,88
temp,88
cancellous,88
hemostats,88
mobility,88
multivitamin,88
confusion,88
dated,88
lines,88
understand,88
giving,88
demerol,88
program,88
judgment,88
tumors,88
inverted,88
viscoelastic,88
lift,88
performing,87
selected,87
microscopic,87
habits,87
thecal,87
hallucis,87
bue,87
interview,87
employed,87
elements,87
periods,87
severely,87
bruising,87
allowing,87
gain,87
arthrodesis,87
develop,87
remote,87
spasm,87
met,87
bones,86
pp,86
decompressed,86
opinion,86
turbinates,86
axilla,86
syringe,86
sick,86
retinal,86
pancreatic,86
seldinger,86
packs,86
lymphoma,86
looking,86
considered,86
cpap,86
regimen,86
viral,86
toward,86
inpatient,86
ratio,86
calcifications,86
inner,86
ventriculogram,86
bicarbonate,86
ill,86
intractable,86
nonspecific,86
cholelithiasis,86
cat,86
bundle,86
dermabond,86
bolus,85
tolerating,85
language,85
sphincter,85
stop,85
radicular,85
pneumoperitoneum,85
represent,85
aspects,85
energy,85
bactrim,85
babinski,85
fullness,85
stand,85
unresponsive,85
begin,85
cocaine,85
application,85
necrotic,85
seal,85
uvula,85
cartilaginous,85
ended,85
hydronephrosis,85
admit,85
determine,84
education,84
shoulders,84
perineum,84
esophagitis,84
delayed,84
density,84
suggest,84
burr,84
source,84
entering,84
refer,84
malignant,84
terminated,84
elderly,84
scans,84
trocars,84
sprain,84
implants,84
chair,83
radiology,83
ou,83
kling,83
stain,83
model,83
musculature,83
injured,83
constant,83
steroids,83
read,83
occluded,83
intensity,83
penrose,83
crackles,83
pertinent,83
shaver,83
bedside,83
remember,83
regards,83
members,83
group,82
electrical,82
falls,82
refractory,82
prosthesis,82
ectopic,82
subscapularis,82
degeneration,82
recorded,82
add,82
protection,82
foods,82
heparinized,82
meatus,82
hot,82
cul,82
rca,82
withdrawal,82
naming,82
acne,82
retinaculum,81
ten,81
lavage,81
foreskin,81
thinks,81
attenuation,81
antrum,81
ventilator,81
gia,81
shaved,81
muscular,81
synovitis,81
nail,81
contractions,81
metastasis,81
lacerations,81
intramedullary,81
moves,81
sacroiliac,81
exacerbation,81
pubic,81
nonfocal,81
whole,80
scars,80
chondromalacia,80
traumatic,80
rise,80
meq,80
ultimately,80
original,80
exception,80
locally,80
ativan,80
lobes,80
nystagmus,80
angled,80
ptosis,80
longstanding,80
adnexa,80
hemorrhagic,80
sinusitis,80
fluent,80
troponin,80
percocet,80
olympus,80
dark,80
paracentesis,80
ventriculography,80
subperiosteal,80
elliptical,79
slowing,79
supraclavicular,79
amputation,79
localization,79
ocular,79
uncovertebral,79
poorly,79
cns,79
adherent,79
leave,79
cream,79
pratt,79
follows,79
comparison,79
pleura,79
pmi,79
accompanied,79
briefly,78
pieces,78
acuity,78
compromise,78
fiber,78
gaze,78
containing,78
metabolic,78
groups,78
irregularities,78
conjunctival,78
sexual,78
judkins,78
neuroma,78
introducer,78
vertigo,78
wearing,78
drapes,78
hydrochlorothiazide,78
chiropractic,78
nothing,78
resume,78
staple,78
uterosacral,77
gerd,77
background,77
interbody,77
resect,77
anti,77
paresthesias,77
voiding,77
ability,77
cannulate,77
consisted,77
spread,77
often,77
preserve,77
vancomycin,77
plastic,77
alternative,77
evacuation,77
afternoon,77
larynx,77
ever,77
scattered,77
pound,77
retroperitoneal,77
decreasing,77
heartburn,77
happy,77
fractured,77
bursa,76
barium,76
circumferentially,76
tightness,76
keeping,76
acetabulum,76
instituted,76
managed,76
arthroscopy,76
biliary,76
manual,76
perrla,76
donor,76
successfully,76
admitting,76
ganglion,76
colonoscope,76
malleolus,76
rod,76
esr,76
fast,76
nasolabial,76
insomnia,75
ua,75
capacity,75
sequential,75
worker,75
pneumothorax,75
target,75
neuropsychological,75
mesothelioma,75
watertight,75
radiating,75
death,75
gentle,75
synthes,75
hospitalizations,75
regional,75
intra,75
achieve,75
outlined,75
thereafter,75
stereotactic,75
suspect,75
sense,75
tubercle,75
nd,75
desired,75
films,75
skills,75
osteoporosis,75
fibers,75
schedule,75
codeine,75
dull,75
freely,74
bloody,74
colitis,74
sterilization,74
lysis,74
helped,74
spacer,74
dome,74
experience,74
osteotome,74
osteomyelitis,74
neutral,74
option,74
kind,74
suggestion,74
basically,74
iodine,74
buttock,74
initiated,74
reinserted,74
uses,74
friday,74
calorie,74
content,74
arrival,74
toprol,74
unusual,74
wants,74
fasciculations,73
resolution,73
hematologic,73
evoked,73
homicidal,73
auricular,73
regard,73
objects,73
massive,73
forehead,73
medicines,73
ros,73
decadron,73
sexually,73
lightheadedness,73
car,73
deviated,73
postprocedure,73
metal,73
crp,73
exercises,73
leakage,73
brown,72
wheelchair,72
arthrosis,72
retractions,72
temporary,72
believes,72
elevate,72
weightbearing,72
drip,72
blocker,72
pull,72
easy,72
mammogram,72
machine,72
lipid,72
atherosclerotic,72
comprehensive,72
ng,72
relationship,72
bright,72
snare,72
planes,72
invasion,72
lymphocytes,72
urination,71
pathologic,71
passing,71
retained,71
colace,71
higher,71
ileocecal,71
stents,71
concentration,71
prenatal,71
mechanical,71
cerebrovascular,71
continuing,71
anal,71
pda,71
asleep,71
gastritis,71
iris,71
rbc,71
kocher,71
foramina,71
word,71
dislocation,71
pulley,71
adaptic,71
pericardium,71
clavicle,71
sat,71
norvasc,71
spur,71
buried,70
draining,70
dad,70
infectious,70
interstitial,70
sulfa,70
opposite,70
fired,70
cuts,70
recovered,70
icterus,70
something,70
echo,70
concerning,70
individual,70
ball,70
grasp,70
snoring,70
send,70
therapeutic,70
scarpa,70
cystoscope,70
compressive,69
attending,69
fibroids,69
entirely,69
alkaline,69
palm,69
colonic,69
electrolytes,69
deemed,69
cricoid,69
hoarseness,69
triple,69
nephrectomy,69
words,69
dorsum,69
occur,69
exiting,69
weighs,69
front,69
glasses,69
incomplete,69
colostomy,69
bands,69
mini,69
myelopathy,69
circumference,69
contusion,69
inability,69
ambulate,69
bronchitis,69
properly,68
protonix,68
cardiomyopathy,68
nice,68
methotrexate,68
generator,68
blue,68
perhaps,68
indicating,68
equally,68
illnesses,68
impaired,68
bending,68
marking,68
gone,68
february,68
bases,68
exact,68
interested,68
hemiparesis,68
added,68
trimmed,68
angio,68
palsy,68
hemodynamic,68
independently,68
jp,68
pedis,68
strokes,68
hemodialysis,68
agree,67
remain,67
accessory,67
attack,67
lovenox,67
indeed,67
infarct,67
rigid,67
plates,67
congenital,67
prolapse,67
popliteal,67
insufflation,67
definitive,67
expressed,67
brothers,67
unsuccessful,67
luminal,67
goes,67
symphysis,67
rehab,67
deformities,67
deployed,67
sternum,67
sheaths,67
rue,67
nephrostomy,66
infiltration,66
scrubbed,66
papillary,66
gurney,66
ochsner,66
radiographs,66
segments,66
waist,66
blake,66
mastoid,66
fahrenheit,66
stenting,66
flexure,66
methadone,66
ef,66
shield,66
various,66
yet,66
upright,66
audible,66
tia,66
percentile,66
depth,66
prescriptions,66
outer,66
lesser,66
visits,66
catgut,66
carina,66
autologous,66
appreciate,66
subcutaneously,66
consideration,66
amoxicillin,66
reevaluation,65
hemovac,65
formed,65
wrap,65
stump,65
packing,65
phone,65
visualize,65
native,65
exploratory,65
intervertebral,65
enhancing,65
thrombus,65
incisional,65
wishes,65
tibialis,65
brevis,65
subglottic,65
relieved,65
peroneal,65
dietary,65
atenolol,64
patients,64
delay,64
incise,64
siblings,64
folds,64
cad,64
subtle,64
sponges,64
thorough,64
anterolateral,64
fingerbreadths,64
tones,64
temporalis,64
definite,64
helpful,64
suffered,64
ductus,64
neutrophils,64
paralysis,64
structure,64
bacteria,64
oil,64
salt,64
spect,64
magnesium,64
skilled,64
brainstem,64
tightened,63
asa,63
horn,63
phosphatase,63
rolled,63
samples,63
evacuated,63
intraarticular,63
bleeders,63
ascites,63
ecg,63
equals,63
sooner,63
transesophageal,63
burning,63
trigger,63
locked,63
diamond,63
adenoidectomy,63
passage,63
flexed,63
comprehension,63
drape,63
irritable,63
weekly,63
meniscal,63
raising,63
tuberosity,63
smear,63
testicular,63
suicide,63
dropped,63
hygiene,63
mediastinum,62
tiny,62
harvested,62
dexon,62
psychological,62
parathyroid,62
scoliosis,62
reinforced,62
patellofemoral,62
aforementioned,62
daytime,62
rare,62
ataxia,62
detected,62
yes,62
penetration,62
submitted,62
apgars,62
milk,62
load,62
morbid,62
redundant,62
atypical,62
projection,62
stating,62
real,62
tolerance,62
pet,62
metformin,62
marker,62
bradycardia,62
ox,61
lupus,61
progressed,61
arteriovenous,61
regularly,61
bard,61
guarded,61
lortab,61
emergent,61
special,61
chf,61
exchange,61
relative,61
progression,61
hopefully,61
sound,61
rhf,61
pfannenstiel,61
peg,61
u,61
mci,61
vitreous,61
liquids,61
intravenously,61
nocturnal,61
hematemesis,61
cardiologist,61
variable,61
hemodynamics,60
lowered,60
eustachian,60
steel,60
gentamicin,60
dartos,60
ed,60
bronchial,60
annulus,60
pullback,60
corrected,60
rhinorrhea,60
reservoir,60
interphalangeal,60
necrosis,60
distant,60
ethmoid,60
es,60
falling,60
surgicel,60
calcific,60
advance,60
displacement,60
advancement,60
sequentially,60
emesis,60
spells,60
tie,60
pictures,60
cauterization,60
landmarks,60
stat,60
crest,60
dissecting,60
addressed,60
global,59
parallel,59
capsulotomy,59
stairs,59
ca,59
delusions,59
safely,59
segmental,59
transient,59
psychomotor,59
ligamentous,59
vacuum,59
oncology,59
xx,59
huntington,59
phenergan,59
nexium,59
sphenoid,59
ribs,59
fashioned,59
basilar,59
phase,59
hypotension,59
dictated,59
syncopal,59
consented,59
undergoing,59
hematochezia,59
reversed,59
keflex,59
cirrhosis,59
oozing,59
house,59
pupil,59
grasper,59
aerobic,59
flomax,59
sliding,59
advair,59
discontinue,59
extracted,59
stripped,59
gray,59
eminence,59
triceps,59
mandibular,59
green,59
excluded,59
cart,59
adverse,58
shortly,58
gyn,58
cleft,58
ck,58
lma,58
reverse,58
zyrtec,58
glenohumeral,58
arteriosus,58
presently,58
downgoing,58
everything,58
cardioversion,58
hit,58
certain,58
percent,58
adjusted,58
rongeurs,58
ambulating,58
hypokinesis,58
serous,58
im,58
shown,58
undersurface,58
omeprazole,58
sheet,58
autograft,58
darvocet,58
pedicles,58
dual,58
hips,58
valgus,58
dissector,58
absence,58
radius,58
limitations,58
magnification,58
amniotic,58
rd,58
therapist,58
bacterial,58
folic,58
affected,58
angiographic,58
ophthalmic,58
pen,58
maximal,58
adenoma,58
pins,57
trendelenburg,57
parker,57
communication,57
commands,57
rapidly,57
chordee,57
edematous,57
parenchyma,57
services,57
dentition,57
midas,57
actual,57
sections,57
cramping,57
minimally,57
comminuted,57
invasive,57
requesting,57
compartments,57
htn,57
extends,57
tenosynovitis,57
hemorrhages,57
pretty,57
assistant,57
subluxation,57
overweight,57
intermittently,57
spermatic,57
emphysema,57
enzymes,57
collar,57
